adjustment_id,ad_campaign_id,adjusted_at,previous_budget,new_budget,adjustment_reason,operator_name
BA000001,ADC00022,2026-06-25 09:55:13,114853,148053,转化成本偏高,渠道运营02
BA000002,ADC00097,2026-05-03 17:39:05,94362,125503,转化成本偏高,渠道运营03
BA000003,ADC00100,2026-02-12 04:13:44,211433,242902,素材衰退,渠道运营04
BA000004,ADC00017,2026-03-13 03:39:37,60551,41692,素材衰退,渠道运营05
BA000005,ADC00090,2026-07-13 21:39:58,41011,34466,素材衰退,渠道运营06
BA000006,ADC00017,2026-03-10 05:01:16,60551,83491,转化成本偏高,渠道运营07
BA000007,ADC00040,2026-06-16 07:00:33,206930,170064,留存质量较好,渠道运营08
BA000008,ADC00090,2026-07-13 16:40:45,41011,38268,转化成本偏高,渠道运营01
BA000009,ADC00050,2026-04-22 23:03:42,228125,289853,留存质量较好,渠道运营02
BA000010,ADC00082,2026-04-16 05:27:32,77397,90574,留存质量较好,渠道运营03
BA000011,ADC00003,2026-03-26 02:43:49,31079,41821,转化成本偏高,渠道运营04
BA000012,ADC00092,2026-05-18 23:26:22,192262,206571,转化成本偏高,渠道运营05
BA000013,ADC00024,2026-03-26 19:54:05,81180,55768,转化成本偏高,渠道运营06
BA000014,ADC00009,2026-04-19 16:03:02,248217,280218,阶段性加量,渠道运营07
BA000015,ADC00023,2026-05-18 12:36:57,191468,166384,素材衰退,渠道运营08
BA000016,ADC00059,2026-08-01 23:05:40,134982,134138,留存质量较好,渠道运营01
BA000017,ADC00030,2026-05-02 14:11:52,74718,87008,留存质量较好,渠道运营02
BA000018,ADC00072,2026-07-03 07:47:23,95831,97695,转化成本偏高,渠道运营03
BA000019,ADC00054,2026-01-02 09:10:02,78922,70772,转化成本偏高,渠道运营04
BA000020,ADC00080,2026-05-22 08:49:35,247137,210169,转化成本偏高,渠道运营05
BA000021,ADC00056,2026-03-10 15:32:43,232275,173396,阶段性加量,渠道运营06
BA000022,ADC00039,2026-04-23 08:31:59,190797,190753,阶段性加量,渠道运营07
BA000023,ADC00086,2026-02-27 10:57:32,221283,173388,留存质量较好,渠道运营08
BA000024,ADC00040,2026-05-31 06:44:57,206930,146435,素材衰退,渠道运营01
BA000025,ADC00075,2026-04-08 13:04:33,176772,158061,素材衰退,渠道运营02
BA000026,ADC00087,2026-03-19 05:06:05,129307,132989,留存质量较好,渠道运营03
BA000027,ADC00055,2026-02-05 04:56:30,239276,188543,留存质量较好,渠道运营04
BA000028,ADC00036,2026-06-04 17:04:21,122832,123067,素材衰退,渠道运营05
BA000029,ADC00010,2026-05-27 14:18:28,166048,169555,转化成本偏高,渠道运营06
BA000030,ADC00024,2026-03-23 14:14:45,81180,94601,留存质量较好,渠道运营07
BA000031,ADC00067,2026-04-12 11:29:38,94903,111038,转化成本偏高,渠道运营08
BA000032,ADC00095,2026-07-02 22:13:06,149030,167051,阶段性加量,渠道运营01
BA000033,ADC00015,2026-03-06 09:26:13,258566,251882,阶段性加量,渠道运营02
BA000034,ADC00081,2026-05-11 05:20:23,156922,157296,阶段性加量,渠道运营03
BA000035,ADC00089,2026-05-12 00:10:01,222334,224850,转化成本偏高,渠道运营04
BA000036,ADC00023,2026-06-12 06:07:07,191468,170895,转化成本偏高,渠道运营05
BA000037,ADC00072,2026-05-22 00:23:38,95831,127343,留存质量较好,渠道运营06
BA000038,ADC00065,2026-03-21 08:42:32,235092,267624,转化成本偏高,渠道运营07
BA000039,ADC00037,2026-04-10 04:27:20,158506,206423,转化成本偏高,渠道运营08
BA000040,ADC00034,2026-03-22 15:15:22,58225,52570,阶段性加量,渠道运营01
BA000041,ADC00027,2026-06-11 08:24:54,128491,136884,转化成本偏高,渠道运营02
BA000042,ADC00094,2026-02-07 14:08:59,84603,67166,留存质量较好,渠道运营03
BA000043,ADC00059,2026-07-19 15:36:12,134982,157154,留存质量较好,渠道运营04
BA000044,ADC00013,2026-05-18 19:59:25,189759,238435,阶段性加量,渠道运营05
BA000045,ADC00040,2026-06-11 10:18:19,206930,254591,转化成本偏高,渠道运营06
BA000046,ADC00041,2026-07-19 12:57:24,237970,270189,阶段性加量,渠道运营07
BA000047,ADC00059,2026-06-24 22:50:51,134982,169700,阶段性加量,渠道运营08
BA000048,ADC00072,2026-07-29 09:22:02,95831,64011,留存质量较好,渠道运营01
BA000049,ADC00083,2026-06-11 15:27:43,83763,56879,留存质量较好,渠道运营02
BA000050,ADC00018,2026-04-30 00:14:50,73557,76562,阶段性加量,渠道运营03
BA000051,ADC00090,2026-06-19 05:52:04,41011,42308,阶段性加量,渠道运营04
BA000052,ADC00012,2026-04-08 19:44:43,79511,80247,转化成本偏高,渠道运营05
BA000053,ADC00054,2026-03-12 15:03:35,78922,90780,留存质量较好,渠道运营06
BA000054,ADC00061,2026-03-24 14:47:14,145037,152181,阶段性加量,渠道运营07
BA000055,ADC00004,2026-03-17 16:40:19,127554,133642,素材衰退,渠道运营08
BA000056,ADC00056,2026-03-18 01:27:58,232275,251868,留存质量较好,渠道运营01
BA000057,ADC00007,2026-05-15 13:28:12,46043,43571,转化成本偏高,渠道运营02
BA000058,ADC00027,2026-06-07 04:19:57,128491,120931,阶段性加量,渠道运营03
BA000059,ADC00100,2026-03-18 01:23:40,211433,140492,素材衰退,渠道运营04
BA000060,ADC00091,2026-08-13 07:46:09,146764,199070,素材衰退,渠道运营05
BA000061,ADC00092,2026-05-14 09:57:37,192262,187074,留存质量较好,渠道运营06
BA000062,ADC00050,2026-04-03 10:16:03,228125,181323,留存质量较好,渠道运营07
BA000063,ADC00099,2026-06-10 20:39:21,90092,123681,转化成本偏高,渠道运营08
BA000064,ADC00082,2026-05-20 12:27:13,77397,88863,转化成本偏高,渠道运营01
BA000065,ADC00032,2026-02-05 07:59:59,199888,239823,留存质量较好,渠道运营02
BA000066,ADC00085,2026-01-14 18:01:09,89912,59984,留存质量较好,渠道运营03
BA000067,ADC00019,2026-06-26 20:18:52,241679,159605,阶段性加量,渠道运营04
BA000068,ADC00052,2026-03-04 04:24:03,110371,157642,素材衰退,渠道运营05
BA000069,ADC00029,2026-07-04 15:13:22,137551,143782,转化成本偏高,渠道运营06
BA000070,ADC00072,2026-08-06 22:49:43,95831,106838,阶段性加量,渠道运营07
BA000071,ADC00071,2026-03-28 11:46:58,52988,35313,阶段性加量,渠道运营08
BA000072,ADC00072,2026-07-06 10:11:59,95831,122312,转化成本偏高,渠道运营01
BA000073,ADC00094,2026-03-01 10:11:33,84603,121915,阶段性加量,渠道运营02
BA000074,ADC00035,2026-06-03 11:30:52,116320,150265,留存质量较好,渠道运营03
BA000075,ADC00060,2026-03-02 20:35:27,55084,75004,转化成本偏高,渠道运营04
BA000076,ADC00009,2026-04-21 22:36:32,248217,337846,阶段性加量,渠道运营05
BA000077,ADC00097,2026-04-13 03:47:53,94362,115506,转化成本偏高,渠道运营06
BA000078,ADC00024,2026-03-22 19:31:47,81180,108570,转化成本偏高,渠道运营07
BA000079,ADC00068,2026-02-16 18:15:34,129408,94598,转化成本偏高,渠道运营08
BA000080,ADC00034,2026-04-07 18:15:16,58225,58450,素材衰退,渠道运营01
BA000081,ADC00021,2026-05-08 00:17:28,100866,88503,留存质量较好,渠道运营02
BA000082,ADC00093,2026-07-14 03:21:09,182268,209154,阶段性加量,渠道运营03
BA000083,ADC00010,2026-06-15 20:12:15,166048,156133,留存质量较好,渠道运营04
BA000084,ADC00045,2026-05-01 06:21:28,185571,191022,留存质量较好,渠道运营05
BA000085,ADC00071,2026-01-22 11:39:01,52988,46558,阶段性加量,渠道运营06
BA000086,ADC00087,2026-02-14 05:06:37,129307,138134,留存质量较好,渠道运营07
BA000087,ADC00078,2026-05-28 07:05:09,246579,195357,素材衰退,渠道运营08
BA000088,ADC00088,2026-04-28 00:29:22,55905,45018,转化成本偏高,渠道运营01
BA000089,ADC00043,2026-06-01 13:37:00,85886,117371,留存质量较好,渠道运营02
BA000090,ADC00090,2026-07-31 14:56:25,41011,52955,阶段性加量,渠道运营03
BA000091,ADC00072,2026-07-24 04:05:28,95831,130769,转化成本偏高,渠道运营04
BA000092,ADC00079,2026-01-19 23:37:20,156156,199093,素材衰退,渠道运营05
BA000093,ADC00042,2026-03-01 22:17:23,186366,123076,阶段性加量,渠道运营06
BA000094,ADC00063,2026-06-28 13:31:12,153514,207629,转化成本偏高,渠道运营07
BA000095,ADC00040,2026-05-29 17:51:03,206930,280849,素材衰退,渠道运营08
BA000096,ADC00093,2026-08-17 03:24:12,182268,244073,转化成本偏高,渠道运营01
BA000097,ADC00027,2026-06-28 20:38:42,128491,170190,转化成本偏高,渠道运营02
BA000098,ADC00068,2026-02-25 15:40:51,129408,182780,素材衰退,渠道运营03
BA000099,ADC00004,2026-03-05 20:20:41,127554,89701,转化成本偏高,渠道运营04
BA000100,ADC00050,2026-04-12 18:24:57,228125,253533,转化成本偏高,渠道运营05
BA000101,ADC00021,2026-04-18 02:11:03,100866,130974,留存质量较好,渠道运营06
BA000102,ADC00080,2026-04-23 07:18:31,247137,190499,留存质量较好,渠道运营07
BA000103,ADC00023,2026-06-06 19:36:12,191468,198833,阶段性加量,渠道运营08
BA000104,ADC00086,2026-01-20 10:49:17,221283,251274,留存质量较好,渠道运营01
BA000105,ADC00058,2026-08-15 15:44:06,115556,154946,阶段性加量,渠道运营02
BA000106,ADC00040,2026-06-17 23:43:07,206930,266346,转化成本偏高,渠道运营03
BA000107,ADC00085,2026-03-21 00:03:23,89912,62213,转化成本偏高,渠道运营04
BA000108,ADC00075,2026-05-18 12:36:10,176772,136309,素材衰退,渠道运营05
BA000109,ADC00048,2026-01-27 16:05:42,84606,97248,阶段性加量,渠道运营06
BA000110,ADC00017,2026-03-06 01:35:30,60551,43993,留存质量较好,渠道运营07
BA000111,ADC00038,2026-07-01 15:22:04,42195,30916,素材衰退,渠道运营08
BA000112,ADC00080,2026-04-06 08:51:06,247137,315148,转化成本偏高,渠道运营01
BA000113,ADC00054,2026-03-08 19:05:27,78922,64305,转化成本偏高,渠道运营02
BA000114,ADC00001,2026-05-10 09:26:38,88175,88625,转化成本偏高,渠道运营03
BA000115,ADC00015,2026-03-06 19:14:03,258566,177568,转化成本偏高,渠道运营04
BA000116,ADC00057,2026-05-18 18:11:20,247364,179247,阶段性加量,渠道运营05
BA000117,ADC00011,2026-05-01 02:33:02,182749,140478,阶段性加量,渠道运营06
BA000118,ADC00046,2026-06-06 19:23:01,35298,48349,转化成本偏高,渠道运营07
BA000119,ADC00037,2026-05-27 14:37:20,158506,159411,阶段性加量,渠道运营08
BA000120,ADC00062,2026-03-27 22:47:33,151310,141328,素材衰退,渠道运营01
BA000121,ADC00073,2026-06-08 20:55:31,159673,200271,转化成本偏高,渠道运营02
BA000122,ADC00006,2026-04-29 20:40:58,247276,275354,素材衰退,渠道运营03
BA000123,ADC00087,2026-02-16 23:52:56,129307,134705,阶段性加量,渠道运营04
BA000124,ADC00020,2026-05-15 07:53:28,181763,164384,转化成本偏高,渠道运营05
BA000125,ADC00084,2026-02-24 11:59:00,69425,97577,阶段性加量,渠道运营06
BA000126,ADC00081,2026-05-19 07:10:59,156922,112461,素材衰退,渠道运营07
BA000127,ADC00009,2026-03-15 06:07:18,248217,162771,阶段性加量,渠道运营08
BA000128,ADC00008,2026-04-17 10:52:55,47633,61624,转化成本偏高,渠道运营01
BA000129,ADC00070,2026-04-28 01:23:46,255137,323117,留存质量较好,渠道运营02
BA000130,ADC00015,2026-02-13 11:30:02,258566,182447,转化成本偏高,渠道运营03
BA000131,ADC00065,2026-03-17 15:11:09,235092,252783,留存质量较好,渠道运营04
BA000132,ADC00072,2026-06-09 10:49:31,95831,106366,转化成本偏高,渠道运营05
BA000133,ADC00025,2026-06-15 08:34:37,173049,157274,素材衰退,渠道运营06
BA000134,ADC00058,2026-06-30 11:30:33,115556,95282,素材衰退,渠道运营07
BA000135,ADC00056,2026-03-24 03:31:59,232275,303866,素材衰退,渠道运营08
BA000136,ADC00005,2026-05-12 13:35:28,55969,51540,留存质量较好,渠道运营01
BA000137,ADC00076,2026-02-22 05:22:22,37275,50700,素材衰退,渠道运营02
BA000138,ADC00030,2026-04-23 13:05:17,74718,74794,留存质量较好,渠道运营03
BA000139,ADC00057,2026-05-18 06:40:55,247364,222333,阶段性加量,渠道运营04
BA000140,ADC00080,2026-04-19 16:40:08,247137,283709,素材衰退,渠道运营05
