creative_id,ad_campaign_id,creative_name,creative_type,creative_theme,creative_status
CR0000001,ADC00001,素材ADC00001-1,图文,达人推荐,active
CR0000002,ADC00001,素材ADC00001-2,短视频,热点跟拍,active
CR0000003,ADC00001,素材ADC00001-3,短视频,达人推荐,active
CR0000004,ADC00001,素材ADC00001-4,短视频,功能卖点,active
CR0000005,ADC00001,素材ADC00001-5,短视频,情绪共鸣,paused
CR0000006,ADC00002,素材ADC00002-1,短视频,情绪共鸣,active
CR0000007,ADC00002,素材ADC00002-2,图文,功能卖点,active
CR0000008,ADC00002,素材ADC00002-3,图文,热点跟拍,active
CR0000009,ADC00002,素材ADC00002-4,短视频,情绪共鸣,paused
CR0000010,ADC00003,素材ADC00003-1,开屏,功能卖点,active
CR0000011,ADC00003,素材ADC00003-2,图文,达人推荐,active
CR0000012,ADC00003,素材ADC00003-3,图文,情绪共鸣,active
CR0000013,ADC00003,素材ADC00003-4,短视频,情绪共鸣,active
CR0000014,ADC00003,素材ADC00003-5,短视频,达人推荐,active
CR0000015,ADC00003,素材ADC00003-6,短视频,达人推荐,active
CR0000016,ADC00004,素材ADC00004-1,图文,热点跟拍,active
CR0000017,ADC00004,素材ADC00004-2,图文,功能卖点,active
CR0000018,ADC00004,素材ADC00004-3,短视频,功能卖点,active
CR0000019,ADC00004,素材ADC00004-4,短视频,功能卖点,active
CR0000020,ADC00004,素材ADC00004-5,开屏,热点跟拍,active
CR0000021,ADC00004,素材ADC00004-6,图文,情绪共鸣,active
CR0000022,ADC00005,素材ADC00005-1,开屏,功能卖点,active
CR0000023,ADC00005,素材ADC00005-2,图文,情绪共鸣,active
CR0000024,ADC00005,素材ADC00005-3,短视频,功能卖点,paused
CR0000025,ADC00005,素材ADC00005-4,图文,热点跟拍,active
CR0000026,ADC00005,素材ADC00005-5,短视频,热点跟拍,active
CR0000027,ADC00005,素材ADC00005-6,短视频,情绪共鸣,active
CR0000028,ADC00006,素材ADC00006-1,短视频,达人推荐,active
CR0000029,ADC00006,素材ADC00006-2,短视频,功能卖点,active
CR0000030,ADC00006,素材ADC00006-3,短视频,达人推荐,active
CR0000031,ADC00006,素材ADC00006-4,短视频,热点跟拍,active
CR0000032,ADC00006,素材ADC00006-5,短视频,热点跟拍,active
CR0000033,ADC00006,素材ADC00006-6,短视频,热点跟拍,active
CR0000034,ADC00007,素材ADC00007-1,短视频,情绪共鸣,active
CR0000035,ADC00007,素材ADC00007-2,短视频,功能卖点,active
CR0000036,ADC00007,素材ADC00007-3,短视频,情绪共鸣,active
CR0000037,ADC00007,素材ADC00007-4,短视频,功能卖点,active
CR0000038,ADC00007,素材ADC00007-5,图文,热点跟拍,active
