target_id,target_month,channel_id,new_user_target,activation_rate_target,day7_retention_target,owner_name
GT00001,2026-01,CH01,1366,0.8186,0.335,增长负责人01
GT00002,2026-01,CH02,1255,0.6332,0.3413,增长负责人02
GT00003,2026-01,CH03,1214,0.7272,0.3798,增长负责人03
GT00004,2026-01,CH04,1394,0.6819,0.261,增长负责人04
GT00005,2026-01,CH05,1639,0.6861,0.2291,增长负责人05
GT00006,2026-01,CH06,1320,0.7049,0.2772,增长负责人06
GT00007,2026-01,CH07,1557,0.6814,0.251,增长负责人07
GT00008,2026-01,CH08,991,0.7255,0.2818,增长负责人08
GT00009,2026-01,CH09,1581,0.7217,0.4068,增长负责人09
GT00010,2026-01,CH10,1055,0.772,0.3867,增长负责人10
GT00011,2026-02,CH01,1454,0.7281,0.3755,增长负责人01
GT00012,2026-02,CH02,1234,0.8074,0.3696,增长负责人02
GT00013,2026-02,CH03,1466,0.6802,0.3213,增长负责人03
GT00014,2026-02,CH04,955,0.6248,0.419,增长负责人04
GT00015,2026-02,CH05,898,0.7826,0.234,增长负责人05
GT00016,2026-02,CH06,1215,0.7666,0.3667,增长负责人06
GT00017,2026-02,CH07,776,0.648,0.2556,增长负责人07
GT00018,2026-02,CH08,1282,0.7981,0.4021,增长负责人08
GT00019,2026-02,CH09,1200,0.6786,0.2345,增长负责人09
GT00020,2026-02,CH10,1137,0.6495,0.2777,增长负责人10
GT00021,2026-03,CH01,1018,0.7833,0.4045,增长负责人01
GT00022,2026-03,CH02,1139,0.6281,0.2384,增长负责人02
GT00023,2026-03,CH03,1510,0.8125,0.2741,增长负责人03
GT00024,2026-03,CH04,1243,0.6267,0.3849,增长负责人04
GT00025,2026-03,CH05,1521,0.6767,0.4177,增长负责人05
GT00026,2026-03,CH06,1217,0.7103,0.3303,增长负责人06
GT00027,2026-03,CH07,1215,0.6454,0.3611,增长负责人07
GT00028,2026-03,CH08,1271,0.7661,0.2924,增长负责人08
GT00029,2026-03,CH09,939,0.6871,0.2502,增长负责人09
GT00030,2026-03,CH10,1466,0.6482,0.3033,增长负责人10
GT00031,2026-04,CH01,797,0.7546,0.2992,增长负责人01
GT00032,2026-04,CH02,1503,0.7537,0.2616,增长负责人02
GT00033,2026-04,CH03,704,0.7183,0.2932,增长负责人03
GT00034,2026-04,CH04,1545,0.7888,0.2238,增长负责人04
GT00035,2026-04,CH05,741,0.7519,0.3415,增长负责人05
GT00036,2026-04,CH06,776,0.6342,0.3896,增长负责人06
GT00037,2026-04,CH07,1405,0.6823,0.2902,增长负责人07
GT00038,2026-04,CH08,1038,0.7688,0.3483,增长负责人08
GT00039,2026-04,CH09,1174,0.7696,0.3002,增长负责人09
GT00040,2026-04,CH10,796,0.7812,0.301,增长负责人10
GT00041,2026-05,CH01,856,0.8107,0.3291,增长负责人01
GT00042,2026-05,CH02,799,0.7175,0.3726,增长负责人02
GT00043,2026-05,CH03,1090,0.7082,0.3886,增长负责人03
GT00044,2026-05,CH04,989,0.7176,0.2733,增长负责人04
GT00045,2026-05,CH05,1761,0.7835,0.3519,增长负责人05
GT00046,2026-05,CH06,1086,0.756,0.278,增长负责人06
GT00047,2026-05,CH07,957,0.6785,0.412,增长负责人07
GT00048,2026-05,CH08,956,0.6441,0.3382,增长负责人08
GT00049,2026-05,CH09,704,0.6237,0.3644,增长负责人09
GT00050,2026-05,CH10,913,0.7158,0.2824,增长负责人10
GT00051,2026-06,CH01,1441,0.7426,0.2995,增长负责人01
GT00052,2026-06,CH02,1483,0.7875,0.3728,增长负责人02
GT00053,2026-06,CH03,1782,0.629,0.2586,增长负责人03
GT00054,2026-06,CH04,1508,0.6444,0.3914,增长负责人04
GT00055,2026-06,CH05,1180,0.7904,0.2565,增长负责人05
GT00056,2026-06,CH06,1141,0.6373,0.3526,增长负责人06
GT00057,2026-06,CH07,863,0.6345,0.3444,增长负责人07
GT00058,2026-06,CH08,1282,0.6363,0.2534,增长负责人08
GT00059,2026-06,CH09,807,0.758,0.3299,增长负责人09
GT00060,2026-06,CH10,954,0.6439,0.3641,增长负责人10
GT00061,2026-07,CH01,919,0.7123,0.267,增长负责人01
GT00062,2026-07,CH02,736,0.6959,0.2457,增长负责人02
GT00063,2026-07,CH03,1409,0.6712,0.3644,增长负责人03
GT00064,2026-07,CH04,1527,0.7364,0.4021,增长负责人04
GT00065,2026-07,CH05,1367,0.6972,0.3568,增长负责人05
GT00066,2026-07,CH06,1340,0.7804,0.2254,增长负责人06
GT00067,2026-07,CH07,1089,0.6403,0.3071,增长负责人07
GT00068,2026-07,CH08,999,0.6282,0.3685,增长负责人08
GT00069,2026-07,CH09,966,0.7631,0.2349,增长负责人09
GT00070,2026-07,CH10,910,0.7957,0.2235,增长负责人10
GT00071,2026-08,CH01,1210,0.7594,0.413,增长负责人01
GT00072,2026-08,CH02,960,0.6667,0.3695,增长负责人02
GT00073,2026-08,CH03,872,0.7886,0.3192,增长负责人03
GT00074,2026-08,CH04,1763,0.7457,0.2752,增长负责人04
GT00075,2026-08,CH05,1541,0.7401,0.4176,增长负责人05
GT00076,2026-08,CH06,1414,0.7301,0.2445,增长负责人06
GT00077,2026-08,CH07,1027,0.7216,0.274,增长负责人07
GT00078,2026-08,CH08,1037,0.6287,0.3941,增长负责人08
GT00079,2026-08,CH09,1405,0.6841,0.4166,增长负责人09
GT00080,2026-08,CH10,724,0.669,0.2754,增长负责人10
